timestamps,Motion_State
2023-08-08 05:36:03.002158+00:00,2
2023-08-08 05:36:03.008036100+00:00,2
2023-08-08 05:36:03.014159300+00:00,2
2023-08-08 05:36:03.020033700+00:00,2
2023-08-08 05:36:03.026157200+00:00,2
2023-08-08 05:36:03.032038700+00:00,2
2023-08-08 05:36:03.037566500+00:00,2
2023-08-08 05:36:03.044041100+00:00,2
2023-08-08 05:36:03.050116500+00:00,2
2023-08-08 05:36:03.056036+00:00,2
2023-08-08 05:36:03.061564800+00:00,2
2023-08-08 05:36:03.068037700+00:00,2
2023-08-08 05:36:03.074037100+00:00,2
2023-08-08 05:36:03.080037600+00:00,2
2023-08-08 05:36:03.086039200+00:00,2
2023-08-08 05:36:03.092039700+00:00,2
2023-08-08 05:36:03.098038700+00:00,2
2023-08-08 05:36:03.104041300+00:00,2
2023-08-08 05:36:03.110038900+00:00,2
2023-08-08 05:36:03.116041700+00:00,2
2023-08-08 05:36:03.122175400+00:00,2
2023-08-08 05:36:03.128041900+00:00,2
2023-08-08 05:36:03.134165600+00:00,2
2023-08-08 05:36:03.140042100+00:00,2
2023-08-08 05:36:03.146224900+00:00,2
2023-08-08 05:36:03.152042300+00:00,2
2023-08-08 05:36:03.158045800+00:00,2
2023-08-08 05:36:03.164043400+00:00,2
2023-08-08 05:36:03.170044900+00:00,2
2023-08-08 05:36:03.176042500+00:00,2
2023-08-08 05:36:03.182040+00:00,2
2023-08-08 05:36:03.188043500+00:00,2
2023-08-08 05:36:03.194042700+00:00,2
2023-08-08 05:36:03.200046200+00:00,2
2023-08-08 05:36:03.206043200+00:00,2
2023-08-08 05:36:03.212046300+00:00,2
2023-08-08 05:36:03.218125800+00:00,2
2023-08-08 05:36:03.224047300+00:00,2
2023-08-08 05:36:03.230043800+00:00,2
2023-08-08 05:36:03.236049300+00:00,2
2023-08-08 05:36:03.242173600+00:00,2
2023-08-08 05:36:03.248045800+00:00,2
2023-08-08 05:36:03.254172499+00:00,2
2023-08-08 05:36:03.260047100+00:00,2
2023-08-08 05:36:03.266168600+00:00,2
2023-08-08 05:36:03.272050100+00:00,2
2023-08-08 05:36:03.278049600+00:00,2
2023-08-08 05:36:03.284054300+00:00,2
2023-08-08 05:36:03.290132400+00:00,2
2023-08-08 05:36:03.296050+00:00,2
2023-08-08 05:36:03.302049500+00:00,2
2023-08-08 05:36:03.308050500+00:00,2
2023-08-08 05:36:03.314051800+00:00,2
2023-08-08 05:36:03.320051200+00:00,2
2023-08-08 05:36:03.326052700+00:00,2
2023-08-08 05:36:03.332052200+00:00,2
2023-08-08 05:36:03.338129400+00:00,2
2023-08-08 05:36:03.344057200+00:00,2
2023-08-08 05:36:03.350131900+00:00,2
2023-08-08 05:36:03.356052400+00:00,2
2023-08-08 05:36:03.362183+00:00,2
2023-08-08 05:36:03.368053500+00:00,2
2023-08-08 05:36:03.374178200+00:00,2
2023-08-08 05:36:03.380054700+00:00,2
2023-08-08 05:36:03.386174700+00:00,2
2023-08-08 05:36:03.392057200+00:00,2
2023-08-08 05:36:03.398054600+00:00,2
2023-08-08 05:36:03.404059200+00:00,2
2023-08-08 05:36:03.410057800+00:00,2
2023-08-08 05:36:03.416056700+00:00,2
2023-08-08 05:36:03.422059200+00:00,2
2023-08-08 05:36:03.428057700+00:00,2
2023-08-08 05:36:03.434057700+00:00,2
2023-08-08 05:36:03.440056200+00:00,2
2023-08-08 05:36:03.446117400+00:00,2
2023-08-08 05:36:03.452058900+00:00,2
2023-08-08 05:36:03.458135500+00:00,2
2023-08-08 05:36:03.464059+00:00,2
2023-08-08 05:36:03.470057500+00:00,2
2023-08-08 05:36:03.476060100+00:00,2
2023-08-08 05:36:03.482183400+00:00,2
2023-08-08 05:36:03.488058900+00:00,2
2023-08-08 05:36:03.494183700+00:00,2
2023-08-08 05:36:03.500060199+00:00,2
2023-08-08 05:36:03.506181200+00:00,2
2023-08-08 05:36:03.512062300+00:00,2
2023-08-08 05:36:03.518061700+00:00,2
2023-08-08 05:36:03.524063300+00:00,2
2023-08-08 05:36:03.530062300+00:00,2
2023-08-08 05:36:03.536060899+00:00,2
2023-08-08 05:36:03.542063400+00:00,2
2023-08-08 05:36:03.548060600+00:00,2
2023-08-08 05:36:03.554062100+00:00,2
2023-08-08 05:36:03.560063600+00:00,2
2023-08-08 05:36:03.566064400+00:00,2
2023-08-08 05:36:03.572063900+00:00,2
2023-08-08 05:36:03.578063800+00:00,2
2023-08-08 05:36:03.584065400+00:00,2
2023-08-08 05:36:03.590067800+00:00,2
2023-08-08 05:36:03.596064500+00:00,2
2023-08-08 05:36:03.602193200+00:00,2
2023-08-08 05:36:03.608067300+00:00,2
2023-08-08 05:36:03.614190800+00:00,2
2023-08-08 05:36:03.620067200+00:00,2
2023-08-08 05:36:03.626191400+00:00,2
2023-08-08 05:36:03.632069+00:00,2
2023-08-08 05:36:03.638068500+00:00,2
2023-08-08 05:36:03.644068400+00:00,2
2023-08-08 05:36:03.650068+00:00,2
2023-08-08 05:36:03.656067700+00:00,2
2023-08-08 05:36:03.662069200+00:00,2
2023-08-08 05:36:03.668069700+00:00,2
2023-08-08 05:36:03.674069700+00:00,2
2023-08-08 05:36:03.680071300+00:00,2
2023-08-08 05:36:03.686068800+00:00,2
2023-08-08 05:36:03.692071300+00:00,2
2023-08-08 05:36:03.698147+00:00,2
2023-08-08 05:36:03.704072400+00:00,2
2023-08-08 05:36:03.710070+00:00,2
2023-08-08 05:36:03.716073+00:00,2
2023-08-08 05:36:03.722196300+00:00,2
2023-08-08 05:36:03.728072800+00:00,2
2023-08-08 05:36:03.734196500+00:00,2
2023-08-08 05:36:03.740075+00:00,2
2023-08-08 05:36:03.746255400+00:00,2
2023-08-08 05:36:03.752077+00:00,2
2023-08-08 05:36:03.758075400+00:00,2
2023-08-08 05:36:03.764075+00:00,2
2023-08-08 05:36:03.770075100+00:00,2
2023-08-08 05:36:03.776077600+00:00,2
2023-08-08 05:36:03.782077100+00:00,2
2023-08-08 05:36:03.788075600+00:00,2
2023-08-08 05:36:03.794076+00:00,2
2023-08-08 05:36:03.800076500+00:00,2
2023-08-08 05:36:03.806076700+00:00,2
2023-08-08 05:36:03.812079800+00:00,2
2023-08-08 05:36:03.818153900+00:00,2
2023-08-08 05:36:03.824080400+00:00,2
2023-08-08 05:36:03.830158100+00:00,2
2023-08-08 05:36:03.836078600+00:00,2
2023-08-08 05:36:03.842209200+00:00,2
2023-08-08 05:36:03.848078500+00:00,2
2023-08-08 05:36:03.854204300+00:00,2
2023-08-08 05:36:03.860080700+00:00,2
2023-08-08 05:36:03.866202+00:00,2
2023-08-08 05:36:03.872081500+00:00,2
2023-08-08 05:36:03.878159100+00:00,2
2023-08-08 05:36:03.883967500+00:00,2
2023-08-08 05:36:03.890162100+00:00,2
2023-08-08 05:36:03.896080600+00:00,2
2023-08-08 05:36:03.902079300+00:00,2
2023-08-08 05:36:03.907612700+00:00,2
2023-08-08 05:36:03.914085900+00:00,2
2023-08-08 05:36:03.920082500+00:00,2
2023-08-08 05:36:03.926084+00:00,2
2023-08-08 05:36:03.932086500+00:00,2
2023-08-08 05:36:03.937969800+00:00,2
2023-08-08 05:36:03.944086200+00:00,2
2023-08-08 05:36:03.950163900+00:00,2
2023-08-08 05:36:03.955971300+00:00,2
2023-08-08 05:36:03.962211600+00:00,2
2023-08-08 05:36:03.968084100+00:00,2
2023-08-08 05:36:03.973615900+00:00,2
2023-08-08 05:36:03.980087+00:00,2
2023-08-08 05:36:03.986208800+00:00,2
2023-08-08 05:36:03.992088300+00:00,2
2023-08-08 05:36:03.998167+00:00,2
2023-08-08 05:36:04.004089399+00:00,2
2023-08-08 05:36:04.010166800+00:00,2
2023-08-08 05:36:04.016087600+00:00,2
2023-08-08 05:36:04.022085300+00:00,2
2023-08-08 05:36:04.028089900+00:00,2
2023-08-08 05:36:04.033976300+00:00,2
2023-08-08 05:36:04.040089+00:00,2
2023-08-08 05:36:04.046153200+00:00,2
2023-08-08 05:36:04.051980600+00:00,2
2023-08-08 05:36:04.058089700+00:00,2
2023-08-08 05:36:04.064092200+00:00,2
2023-08-08 05:36:04.069978500+00:00,2
2023-08-08 05:36:04.076090200+00:00,2
2023-08-08 05:36:04.082218900+00:00,2
2023-08-08 05:36:04.087978500+00:00,2
2023-08-08 05:36:04.094215300+00:00,2
2023-08-08 05:36:04.100091900+00:00,2
2023-08-08 05:36:04.106214700+00:00,2
2023-08-08 05:36:04.111742400+00:00,2
2023-08-08 05:36:04.118174500+00:00,2
2023-08-08 05:36:04.123982800+00:00,2
2023-08-08 05:36:04.130173500+00:00,2
2023-08-08 05:36:04.136093200+00:00,2
2023-08-08 05:36:04.141979600+00:00,2
2023-08-08 05:36:04.148099300+00:00,2
2023-08-08 05:36:04.154096400+00:00,2
2023-08-08 05:36:04.159981700+00:00,2
2023-08-08 05:36:04.166095200+00:00,2
2023-08-08 05:36:04.172096900+00:00,2
2023-08-08 05:36:04.178173700+00:00,2
2023-08-08 05:36:04.184098100+00:00,2
2023-08-08 05:36:04.190178900+00:00,2
2023-08-08 05:36:04.195985300+00:00,2
2023-08-08 05:36:04.202221700+00:00,2
2023-08-08 05:36:04.208096700+00:00,2
2023-08-08 05:36:04.214221100+00:00,2
2023-08-08 05:36:04.220098600+00:00,2
2023-08-08 05:36:04.226220400+00:00,2
2023-08-08 05:36:04.232099100+00:00,2
2023-08-08 05:36:04.237988500+00:00,2
2023-08-08 05:36:04.244101700+00:00,2
2023-08-08 05:36:04.249988700+00:00,2
2023-08-08 05:36:04.256099600+00:00,2
2023-08-08 05:36:04.262099200+00:00,2
2023-08-08 05:36:04.267987600+00:00,2
2023-08-08 05:36:04.274101200+00:00,2
2023-08-08 05:36:04.280101700+00:00,2
2023-08-08 05:36:04.286103400+00:00,2
2023-08-08 05:36:04.291990700+00:00,2
2023-08-08 05:36:04.298102900+00:00,2
2023-08-08 05:36:04.304104600+00:00,2
2023-08-08 05:36:04.309989100+00:00,2
2023-08-08 05:36:04.316104300+00:00,2
2023-08-08 05:36:04.322231100+00:00,2
2023-08-08 05:36:04.328104600+00:00,2
2023-08-08 05:36:04.334230100+00:00,2
2023-08-08 05:36:04.340105800+00:00,2
2023-08-08 05:36:04.346287800+00:00,2
2023-08-08 05:36:04.352105200+00:00,2
2023-08-08 05:36:04.358184900+00:00,2
2023-08-08 05:36:04.363995300+00:00,2
2023-08-08 05:36:04.370106800+00:00,2
2023-08-08 05:36:04.376106500+00:00,2
2023-08-08 05:36:04.381993900+00:00,2
2023-08-08 05:36:04.388108400+00:00,2
2023-08-08 05:36:04.394109600+00:00,2
2023-08-08 05:36:04.400109100+00:00,2
2023-08-08 05:36:04.406108100+00:00,2
2023-08-08 05:36:04.412110200+00:00,2
2023-08-08 05:36:04.417994600+00:00,2
2023-08-08 05:36:04.424113400+00:00,2
2023-08-08 05:36:04.430191100+00:00,2
2023-08-08 05:36:04.435999500+00:00,2
2023-08-08 05:36:04.442234700+00:00,2
2023-08-08 05:36:04.448113100+00:00,2
2023-08-08 05:36:04.454235900+00:00,2
2023-08-08 05:36:04.460112300+00:00,2
2023-08-08 05:36:04.466232100+00:00,2
2023-08-08 05:36:04.471998400+00:00,2
2023-08-08 05:36:04.478111900+00:00,2
2023-08-08 05:36:04.484113600+00:00,2
2023-08-08 05:36:04.490193900+00:00,2
2023-08-08 05:36:04.496114400+00:00,2
2023-08-08 05:36:04.502112+00:00,2
2023-08-08 05:36:04.508001900+00:00,2
2023-08-08 05:36:04.514114100+00:00,2
2023-08-08 05:36:04.520117700+00:00,2
2023-08-08 05:36:04.526002100+00:00,2
2023-08-08 05:36:04.532115700+00:00,2
2023-08-08 05:36:04.538191800+00:00,2
2023-08-08 05:36:04.544158100+00:00,2
2023-08-08 05:36:04.550115700+00:00,2
2023-08-08 05:36:04.556116400+00:00,2
2023-08-08 05:36:04.562242+00:00,2
2023-08-08 05:36:04.568118400+00:00,2
